2019학년도 1학기 개설 교과목 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
단과대학,개설학과,학년,이수구분,"트랙
이수구분",트랙,학수번호,분반,과목명,학점,담당교수,"수업
구분",강의요일 및 교시,강의실,비고
인문융합대학,기독교학과,1,전공과목,,,0AAQ0001,1,기독교학으로의초대,3,김동주,주간(천안),수6/목2~3,천)1호관404-e/천)1호관207-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,2,전공과목,,,0AAQ0003,1,세계기독교와역사,3,김동주,주간(천안),화5~6/목4,천)2호관305-e/천)1호관207-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,2,전공과목,,,0AAQ0004,1,기독교신앙과윤리,3,염창선,주간(천안),수7~8/목7,천)1호관404-e/천)1호관207-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,2,전공과목,,,0AAQ0005,1,기독교와사회봉사,2,황병준,주간(천안),수4~5,천)1호관207-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,3,전공과목,,,0AAP2612,1,English Ministry 1,3,이승현,주간(천안),화5~6/목7,천)2호관205-e/천)1호관404-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,3,전공과목,,,0AAQ0009,1,성서해석과신앙,3,유은걸,주간(천안),수2~3/수5,천)1호관404-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,3,전공과목,,,0AAQ0010,1,교회와기독교교육,2,한미라,주간(천안),목5~6,천)1호관404-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,3,전공과목,,,0AAQ0011,1,예배와설교프락티쿰,3,황병준,주간(천안),수6/목2~3,천)1호관207-e/천)2호관101-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,4,전공과목,,,0AAQ0014,1,성서와영성세미나,3,김병훈,주간(천안),화5~6/목6,천)1호관404-e/천)1호관207-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,4,전공과목,,,0AAQ0015,1,성서교육세미나,3,조태연,주간(천안),화1/목1~2,천)1호관404-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,기독교학과,4,전공과목,,,0AAQ0016,1,기독교의위인들,2,염창선,주간(천안),목3~4,천)1호관404-e,PASS/FAIL 과목은 타전공 신청 불가
인문융합대학,영어영문학전공,1,전공필수,,,0AAC5060,1,영미문화,3,김지나,주간(천안),월2~3/화6,천)1호관405,
인문융합대학,영어영문학전공,1,전공필수,,,0AAC5060,2,영미문화,3,김지나,주간(천안),월5~6/화5,천)1호관405,
인문융합대학,영어영문학전공,2,전공과목,,,0AAC5030,1,영어문법1,3,장선미,주간(천안),월6/화2~3,천)1호관B12/천)1호관405,
인문융합대학,영어영문학전공,2,전공과목,,,0AAC5030,2,영어문법1,3,장선미,주간(천안),월7/수5~6,천)1호관B12/천)1호관405,
인문융합대학,영어영문학전공,2,전공과목,,,0AAC5040,1,영어음성음운론,3,손선아,주간(천안),월7/목1~2,천)1호관214-e/천)1호관405,
인문융합대학,영어영문학전공,2,전공과목,,,0AAC5040,2,영어음성음운론,3,손선아,주간(천안),월6/목3~4,천)1호관214-e/천)1호관405,
인문융합대학,영어영문학전공,2,전공필수,,,0AAC5020,1,영문학개론,3,최예정,주간(천안),화4/목5~6,천)1호관214-e/천)1호관405,
인문융합대학,영어영문학전공,2,전공필수,,,0AAC5020,2,영문학개론,3,최예정,주간(천안),화3/목7~8,천)1호관214-e/천)1호관405,
